speciesId,formKey,nameZh,alternate,normalStatus,shinyStatus,normalUrls,shinyUrls
1,bulbasaur,妙蛙种子,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/bulbasaur.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/bulbasaur-s.gif
2,ivysaur,妙蛙草,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/ivysaur.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/ivysaur-s.gif
3,venusaur,妙蛙花,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/venusaur.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/venusaur-s.gif
4,charmander,小火龙,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/charmander.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/charmander-s.gif
5,charmeleon,火恐龙,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/charmeleon.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/charmeleon-s.gif
6,charizard,喷火龙,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/charizard.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/charizard-s.gif
7,squirtle,杰尼龟,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/squirtle.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/squirtle-s.gif
8,wartortle,卡咪龟,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/wartortle.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/wartortle-s.gif
9,blastoise,水箭龟,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/blastoise.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/blastoise-s.gif
10,caterpie,绿毛虫,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/caterpie.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/caterpie-s.gif
11,metapod,铁甲蛹,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/metapod.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/metapod-s.gif
12,butterfree,巴大蝶,False,verified_header,verified_header,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/butterfree.gif,https://www.pkparaiso.com/imagenes/espada_escudo/sprites/animados-gigante/butterfree-s.gif
13,weedle,独角虫,False,no_mapped_index_entry,no_mapped_index_entry,,
14,kakuna,铁壳蛹,False,no_mapped_index_entry,no_mapped_index_entry,,
15,beedrill,大针蜂,False,no_mapped_index_entry,no_mapped_index_entry,,
16,pidgey,波波,False,no_mapped_index_entry,no_mapped_index_entry,,
17,pidgeotto,比比鸟,False,no_mapped_index_entry,no_mapped_index_entry,,
18,pidgeot,大比鸟,False,no_mapped_index_entry,no_mapped_index_entry,,
19,rattata,小拉达,False,no_mapped_index_entry,no_mapped_index_entry,,
20,raticate,拉达,False,no_mapped_index_entry,no_mapped_index_entry,,
21,spearow,烈雀,False,no_mapped_index_entry,no_mapped_index_entry,,
